lambda_per_node,M,n_q,q_min,q_max,raw_min_q,raw_min_tune_delay_us,selected_q,selected_tune_delay_us,conservative_penalty_us,selected_neighbors_stable,selected_at_lower_boundary,raw_min_at_lower_boundary
1,1,20,0.01,0.975,0.9,403.477027793534,0.025,407.501418037436,4.02439024390202,1,0,0
1,2,20,0.01,0.975,0.1,607.766307430516,0.025,612.156551332955,4.39024390243901,1,0,0
1,3,21,0.005,0.975,0.2,812.055587067499,0.005,815.201928530913,3.14634146341405,1,1,0
1,4,21,0.005,0.975,0.1,1016.41463414634,0.005,1020.14634146341,3.73170731707,1,1,0
1,5,21,0.005,0.975,0.6,1223.00623936472,0.005,1227.76233692569,4.75609756097015,1,1,0
1,6,21,0.005,0.975,0.6,1430.36528644356,0.0075,1432.48723766307,2.12195121950981,1,0,0
3,1,20,0.01,0.975,0.1,407.826701710027,0.02,410.62604381529,2.79934210526301,1,0,0
3,2,21,0.01,0.975,0.8,619.527426142791,0.034375,626.064354747488,6.53692860469698,1,0,0
3,3,21,0.005,0.975,0.0175,835.466859904185,0.0075,849.235340841041,13.768480936856,1,0,0
3,4,21,0.005,0.975,0.3,1057.23349025218,0.01,1070.08881578947,12.8553255372899,1,0,0
3,5,21,0.005,0.975,0.0125,1300.79807372413,0.0075,1335.61762259631,34.8195488721799,1,0,0
3,6,21,0.005,0.975,0.2,1535.72271109189,0.005,1572.40318717147,36.6804760795801,1,1,0
5,1,20,0.01,0.975,0.1,416.715643087134,0.02,421.093146066676,4.37750297954199,1,0,0
5,2,20,0.01,0.975,0.2,635.352998307752,0.02,640.285966853011,4.93296854525897,1,0,0
5,3,20,0.01,0.975,0.3,865.129071765798,0.02,872.596263885322,7.46719211952393,1,0,0
5,4,20,0.01,0.975,0.2,1118.51461456914,0.02,1127.23858391113,8.72396934199014,1,0,0
5,5,20,0.01,0.975,0.1,1380.08293331753,0.015,1401.74552410301,21.66259078548,1,0,0
5,6,20,0.01,0.975,0.1,1679.32478978593,0.015,1707.80565487361,28.4808650876798,1,0,0
