lambda_per_node,M,unslotted_best_q,sb_cb_best_q,unslotted_mean_total_delay_us,sb_cb_mean_total_delay_us,sb_minus_unslotted_us,paired_ci95_halfwidth_us,paired_ci95_low_us,paired_ci95_high_us,paired_interpretation,n_paired_runs
1,1,0.025,0.725,402.060627887574,441.036482190168,38.9758543025936,3.06159190335747,35.9142623992361,42.0374462059511,Unslotted lower,5
1,2,0.025,0.65,608.379207363315,645.690796296061,37.3115889327456,8.17972446907128,29.1318644636743,45.4913134018169,Unslotted lower,5
1,3,0.005,0.525,825.564741332818,852.868137755267,27.3033964224488,34.6048335480538,-7.30143712560502,61.9082299705026,not resolved,5
1,4,0.005,0.475,1034.95080733469,1061.41860544187,26.4677981071838,46.9644553243681,-20.4966572171844,73.4322534315519,not resolved,5
1,5,0.005,0.775,1235.1844534793,1258.69855489492,23.514101415618,43.9598299332074,-20.4457285175894,67.4739313488254,not resolved,5
1,6,0.0075,0.4,1448.40291181384,1477.07491389096,28.6720020771239,57.659456190075,-28.9874541129511,86.3314582671989,not resolved,5
3,1,0.02,0.4,415.313150928717,468.738574702096,53.4254237733792,21.0624826543119,32.3629411190674,74.4879064276911,Unslotted lower,5
3,2,0.034375,0.525,634.122657969754,679.720235041891,45.597577072137,11.5031720961546,34.0944049759823,57.1007491682916,Unslotted lower,5
3,3,0.0075,0.325,857.406289497729,908.290289359325,50.883999861596,36.9117832730971,13.9722165884989,87.7957831346932,Unslotted lower,5
3,4,0.01,0.25,1096.18536995814,1150.11213648455,53.9267665264159,21.7719113871761,32.1548551392398,75.6986779135921,Unslotted lower,5
3,5,0.0075,0.25,1354.1301535212,1382.01234876531,27.882195244104,62.5841387241014,-34.7019434799974,90.4663339682054,not resolved,5
3,6,0.005,0.125,1656.19006963216,1670.28777453507,14.0977049029061,95.2433940029436,-81.1456891000375,109.34109890585,not resolved,5
5,1,0.02,0.35,435.413131312997,482.956959181726,47.5438278687296,12.9006946350641,34.6431332336655,60.4445225037937,Unslotted lower,5
5,2,0.02,0.275,661.859315022885,714.284138918026,52.4248238951412,14.596693997575,37.8281298975663,67.0215178927162,Unslotted lower,5
5,3,0.02,0.4,914.007476936701,964.011701943648,50.004225006946,33.3724387350362,16.6317862719099,83.3766637419822,Unslotted lower,5
5,4,0.02,0.225,1180.84887006613,1261.85758692197,81.008716855836,29.513807784467,51.4949090713689,110.522524640303,Unslotted lower,5
5,5,0.015,0.225,1509.22020062734,1549.74803828425,40.5278376569139,51.9197660092988,-11.3919283523849,92.4476036662126,not resolved,5
5,6,0.015,0.325,1813.47249273288,1926.41996030541,112.947467572534,166.885914868305,-53.9384472957715,279.833382440839,not resolved,5
