q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,min_completion_ratio,variant,lambda_per_node,M,selected
0.01,coarse,3,407.720930232558,7.67980783291221,2.26829268292683,405.452637549631,1,1,unslotted,1,1,0
0.015,fine,3,407.720930232558,7.67980783291221,2.26829268292683,405.452637549631,1,1,unslotted,1,1,0
0.02,fine,3,407.720930232558,7.67980783291221,2.26829268292683,405.452637549631,1,1,unslotted,1,1,0
0.025,coarse,3,407.501418037436,7.46148053741308,2.26829268292683,405.233125354509,1,1,unslotted,1,1,1
0.03,fine,3,407.501418037436,7.46148053741308,2.26829268292683,405.233125354509,1,1,unslotted,1,1,0
0.035,fine,3,407.1355643789,7.09776414200712,2.26829268292683,404.867271695973,1,1,unslotted,1,1,0
0.04,fine,3,406.989222915485,6.95234038302279,2.26829268292683,404.720930232558,1,1,unslotted,1,1,0
0.045,fine,3,403.550198525241,3.55662066961044,2.26829268292683,401.281905842314,1,1,unslotted,1,1,0
0.05,coarse,3,403.550198525241,3.55662066961044,2.26829268292683,401.281905842314,1,1,unslotted,1,1,0
0.1,coarse,3,403.550198525241,3.55662066961044,2.26829268292683,401.281905842314,1,1,unslotted,1,1,0
0.2,coarse,3,403.550198525241,3.55662066961044,2.26829268292683,401.281905842314,1,1,unslotted,1,1,0
0.3,coarse,3,403.550198525241,3.55662066961044,2.26829268292683,401.281905842314,1,1,unslotted,1,1,0
0.4,coarse,3,403.550198525241,3.55662066961044,2.26829268292683,401.281905842314,1,1,unslotted,1,1,0
0.5,coarse,3,403.550198525241,3.55662066961044,2.26829268292683,401.281905842314,1,1,unslotted,1,1,0
0.6,coarse,3,403.550198525241,3.55662066961044,2.26829268292683,401.281905842314,1,1,unslotted,1,1,0
0.7,coarse,3,403.550198525241,3.55662066961044,2.26829268292683,401.281905842314,1,1,unslotted,1,1,0
0.8,coarse,3,403.550198525241,3.55662066961044,2.26829268292683,401.281905842314,1,1,unslotted,1,1,0
0.9,coarse,3,403.477027793534,3.48529407802935,2.26829268292683,401.208735110607,1,1,unslotted,1,1,0
0.95,coarse,3,403.477027793534,3.48529407802935,2.26829268292683,401.208735110607,1,1,unslotted,1,1,0
0.975,coarse,3,403.477027793534,3.48529407802935,2.26829268292683,401.208735110607,1,1,unslotted,1,1,0
0.01,coarse,3,632.790697674419,30.1148962598941,3.87804878048781,628.912648893931,1,1,unslotted,1,2,0
0.015,fine,3,623.571185479297,20.8999039425952,3.87804878048781,619.693136698809,1,1,unslotted,1,2,0
0.02,fine,3,619.327283040272,16.659763152973,3.87804878048781,615.449234259784,1,1,unslotted,1,2,0
0.025,coarse,3,612.156551332955,9.50302145013122,3.87804878048781,608.278502552467,1,1,unslotted,1,2,1
0.03,fine,3,612.156551332955,9.50302145013122,3.87804878048781,608.278502552467,1,1,unslotted,1,2,0
0.035,fine,3,612.156551332955,9.50302145013122,3.87804878048781,608.278502552467,1,1,unslotted,1,2,0
0.04,fine,3,612.156551332955,9.50302145013122,3.87804878048781,608.278502552467,1,1,unslotted,1,2,0
0.045,fine,3,612.156551332955,9.50302145013122,3.87804878048781,608.278502552467,1,1,unslotted,1,2,0
0.05,coarse,3,612.156551332955,9.50302145013122,3.87804878048781,608.278502552467,1,1,unslotted,1,2,0
0.1,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.2,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.3,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.4,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.5,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.6,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.7,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.8,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.9,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.95,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.975,coarse,3,607.766307430516,5.14062312515262,3.87804878048781,603.888258650028,1,1,unslotted,1,2,0
0.005,fine,3,815.201928530913,9.94230618124394,5.48780487804878,809.714123652864,1,1,unslotted,1,3,1
0.0075,fine,3,815.201928530913,9.94230618124394,5.48780487804878,809.714123652864,1,1,unslotted,1,3,0
0.01,coarse,3,815.201928530913,9.94230618124394,5.48780487804878,809.714123652864,1,1,unslotted,1,3,0
0.0125,fine,3,815.201928530913,9.94230618124394,5.48780487804878,809.714123652864,1,1,unslotted,1,3,0
0.015,fine,3,815.201928530913,9.94230618124394,5.48780487804878,809.714123652864,1,1,unslotted,1,3,0
0.0175,fine,3,815.201928530913,9.94230618124394,5.48780487804878,809.714123652864,1,1,unslotted,1,3,0
0.02,fine,3,815.201928530913,9.94230618124394,5.48780487804878,809.714123652864,1,1,unslotted,1,3,0
0.0225,fine,3,815.201928530913,9.94230618124394,5.48780487804878,809.714123652864,1,1,unslotted,1,3,0
0.025,coarse,3,815.201928530913,9.94230618124394,5.48780487804878,809.714123652864,1,1,unslotted,1,3,0
0.05,coarse,3,813.299489506523,8.0472170171341,5.48780487804878,807.811684628474,1,1,unslotted,1,3,0
0.1,coarse,3,813.299489506523,8.0472170171341,5.48780487804878,807.811684628474,1,1,unslotted,1,3,0
0.2,coarse,3,812.055587067499,6.81033652703572,5.48780487804878,806.56778218945,1,1,unslotted,1,3,0
0.3,coarse,3,812.055587067499,6.81033652703572,5.48780487804878,806.56778218945,1,1,unslotted,1,3,0
0.4,coarse,3,812.055587067499,6.81033652703572,5.48780487804878,806.56778218945,1,1,unslotted,1,3,0
0.5,coarse,3,812.055587067499,6.81033652703572,5.48780487804878,806.56778218945,1,1,unslotted,1,3,0
0.6,coarse,3,812.055587067499,6.81033652703572,5.48780487804878,806.56778218945,1,1,unslotted,1,3,0
0.7,coarse,3,812.055587067499,6.81033652703572,5.48780487804878,806.56778218945,1,1,unslotted,1,3,0
0.8,coarse,3,812.055587067499,6.81033652703572,5.48780487804878,806.56778218945,1,1,unslotted,1,3,0
0.9,coarse,3,812.055587067499,6.81033652703572,5.48780487804878,806.56778218945,1,1,unslotted,1,3,0
0.95,coarse,3,812.055587067499,6.81033652703572,5.48780487804878,806.56778218945,1,1,unslotted,1,3,0
0.975,coarse,3,812.055587067499,6.81033652703572,5.48780487804878,806.56778218945,1,1,unslotted,1,3,0
0.005,fine,3,1020.14634146341,12.1679620523649,7.16732841747022,1012.97901304594,1,1,unslotted,1,4,1
0.0075,fine,3,1020.14634146341,12.1679620523649,7.16732841747022,1012.97901304594,1,1,unslotted,1,4,0
0.01,coarse,3,1016.63414634146,8.66453533709293,7.16732841747022,1009.46681792399,1,1,unslotted,1,4,0
0.0125,fine,3,1016.63414634146,8.66453533709293,7.16732841747022,1009.46681792399,1,1,unslotted,1,4,0
0.015,fine,3,1016.63414634146,8.66453533709293,7.16732841747022,1009.46681792399,1,1,unslotted,1,4,0
0.0175,fine,3,1016.63414634146,8.66453533709293,7.16732841747022,1009.46681792399,1,1,unslotted,1,4,0
0.02,fine,3,1016.63414634146,8.66453533709293,7.16732841747022,1009.46681792399,1,1,unslotted,1,4,0
0.0225,fine,3,1016.63414634146,8.66453533709293,7.16732841747022,1009.46681792399,1,1,unslotted,1,4,0
0.025,coarse,3,1016.63414634146,8.66453533709293,7.16732841747022,1009.46681792399,1,1,unslotted,1,4,0
0.05,coarse,3,1016.63414634146,8.66453533709293,7.16732841747022,1009.46681792399,1,1,unslotted,1,4,0
0.1,coarse,3,1016.41463414634,8.44581300874588,7.16732841747022,1009.24730572887,1,1,unslotted,1,4,0
0.2,coarse,3,1016.41463414634,8.44581300874588,7.16732841747022,1009.24730572887,1,1,unslotted,1,4,0
0.3,coarse,3,1016.41463414634,8.44581300874588,7.16732841747022,1009.24730572887,1,1,unslotted,1,4,0
0.4,coarse,3,1016.41463414634,8.44581300874588,7.16732841747022,1009.24730572887,1,1,unslotted,1,4,0
0.5,coarse,3,1016.41463414634,8.44581300874588,7.16732841747022,1009.24730572887,1,1,unslotted,1,4,0
0.6,coarse,3,1016.41463414634,8.44581300874588,7.16732841747022,1009.24730572887,1,1,unslotted,1,4,0
0.7,coarse,3,1016.41463414634,8.44581300874588,7.16732841747022,1009.24730572887,1,1,unslotted,1,4,0
0.8,coarse,3,1016.41463414634,8.44581300874588,7.16732841747022,1009.24730572887,1,1,unslotted,1,4,0
0.9,coarse,3,1016.41463414634,8.44581300874588,7.16732841747022,1009.24730572887,1,1,unslotted,1,4,0
0.95,coarse,3,1016.41463414634,8.44581300874588,7.16732841747022,1009.24730572887,1,1,unslotted,1,4,0
