n_arrived,n_completed,n_censored,completion_ratio,mean_total_delay_us,mean_queue_delay_us,mean_access_delay_us,p95_total_delay_us,mean_attempts,final_backlog,stable,packet_conservation_ok,variant,lambda_per_node,M,Tp_us,q,run,collision_channel_time_us,mean_batch_size
68,68,0,1,400.367647058824,0,400.367647058824,396,1,0,1,1,unslotted,1,1,198,0.025,1,0,1
79,79,0,1,400.329113924051,0,400.329113924051,396,1,0,1,1,unslotted,1,1,198,0.025,2,0,1
85,85,0,1,412.835294117647,2.75294117647059,410.082352941176,396,1.02352941176471,0,1,1,unslotted,1,1,198,0.025,3,36,1
83,83,0,1,400.771084337349,0,400.771084337349,396,1.01204819277108,0,1,1,unslotted,1,1,198,0.025,4,18,1
86,86,0,1,396,0,396,396,1,0,1,1,unslotted,1,1,198,0.025,5,0,1
68,68,0,1,605.647058823529,0,605.647058823529,606.599999999999,1,0,1,1,unslotted,1,2,396,0.025,1,0,1
79,79,0,1,603.341772151899,0,603.341772151899,594,1,0,1,1,unslotted,1,2,396,0.025,2,0,1
85,85,0,1,629.682352941176,5.08235294117647,624.6,803.25,1.07058823529412,0,1,1,unslotted,1,2,396,0.025,3,468,1
83,83,0,1,607.44578313253,0,607.44578313253,594,1.01204819277108,0,1,1,unslotted,1,2,396,0.025,4,18,1
86,86,0,1,595.779069767442,0,595.779069767442,594,1,0,1,1,unslotted,1,2,396,0.025,5,0,1
68,68,0,1,812.382352941176,0,812.382352941176,824.399999999998,1,0,1,1,unslotted,1,3,594,0.005,1,0,1
79,79,0,1,806.354430379747,0,806.354430379747,792,1,0,1,1,unslotted,1,3,594,0.005,2,0,1
85,85,0,1,883.270588235294,7.41176470588235,875.858823529412,915.75,1.02352941176471,0,1,1,unslotted,1,3,594,0.005,3,36,1
83,83,0,1,829.734939759036,0,829.734939759036,792,1.01204819277108,0,1,1,unslotted,1,3,594,0.005,4,18,1
86,86,0,1,796.081395348837,0,796.081395348837,792,1,0,1,1,unslotted,1,3,594,0.005,5,0,1
68,68,0,1,1019.11764705882,0,1019.11764705882,1042.2,1,0,1,1,unslotted,1,4,792,0.005,1,0,1
79,79,0,1,1009.36708860759,0,1009.36708860759,990,1,0,1,1,unslotted,1,4,792,0.005,2,0,1
85,85,0,1,1124.36470588235,11.3294117647059,1113.03529411765,1595.25,1.04705882352941,0,1,1,unslotted,1,4,792,0.005,3,828,1
83,83,0,1,1024.26506024096,0,1024.26506024096,990,1.01204819277108,0,1,1,unslotted,1,4,792,0.005,4,18,1
86,86,0,1,997.639534883721,0,997.639534883721,990,1,0,1,1,unslotted,1,4,792,0.005,5,0,1
68,68,0,1,1227.83823529412,0,1227.83823529412,1381.5,1,0,1,1,unslotted,1,5,990,0.005,1,0,1
79,79,0,1,1212.37974683544,0,1212.37974683544,1188,1,0,1,1,unslotted,1,5,990,0.005,2,0,1
85,85,0,1,1324.90588235294,13.5529411764706,1311.35294117647,1991.25,1.07058823529412,0,1,1,unslotted,1,5,990,0.005,3,1044,1
83,83,0,1,1210.55421686747,0,1210.55421686747,1188,1.01204819277108,0,1,1,unslotted,1,5,990,0.005,4,18,1
86,86,0,1,1200.24418604651,0,1200.24418604651,1188,1,0,1,1,unslotted,1,5,990,0.005,5,0,1
68,68,0,1,1437.48529411765,0,1437.48529411765,1777.5,1,0,1,1,unslotted,1,6,1188,0.0075,1,0,1
79,79,0,1,1415.39240506329,0,1415.39240506329,1386,1,0,1,1,unslotted,1,6,1188,0.0075,2,0,1
85,85,0,1,1565.04705882353,44.8941176470588,1520.15294117647,2925,1.04705882352941,0,1,1,unslotted,1,6,1188,0.0075,3,1224,1
83,83,0,1,1421.24096385542,0,1421.24096385542,1401.75,1.01204819277108,0,1,1,unslotted,1,6,1188,0.0075,4,18,1
86,86,0,1,1402.8488372093,0,1402.8488372093,1386,1,0,1,1,unslotted,1,6,1188,0.0075,5,0,1
233,233,0,1,410.44635193133,0,410.44635193133,403.65,1.01287553648069,0,1,1,unslotted,3,1,198,0.02,1,54,1
255,255,0,1,414.317647058824,1.48235294117647,412.835294117647,396,1.02745098039216,0,1,1,unslotted,3,1,198,0.02,2,135,1
248,248,0,1,417.120967741935,0,417.120967741935,396,1.01612903225806,0,1,1,unslotted,3,1,198,0.02,3,63,1
238,238,0,1,410.029411764706,0,410.029411764706,396,1.01680672268908,0,1,1,unslotted,3,1,198,0.02,4,54,1
218,218,0,1,424.651376146789,0,424.651376146789,502.2,1.02293577981651,0,1,1,unslotted,3,1,198,0.02,5,342,1
233,233,0,1,631.429184549356,0,631.429184549356,808.65,1.03862660944206,0,1,1,unslotted,3,2,396,0.034375,1,144,1
255,255,0,1,629.152941176471,2.25882352941176,626.894117647059,702,1.03529411764706,0,1,1,unslotted,3,2,396,0.034375,2,549,1
