variant,lambda_per_node,M,Tp_us,best_q,n_eval_runs,mean_total_delay_us,ci95_total_delay_us,mean_queue_delay_us,ci95_queue_delay_us,mean_access_delay_us,ci95_access_delay_us,p95_total_delay_us_mean,completion_ratio_mean,stable_fraction,final_backlog_mean,mean_attempts,delay_identity_error_us
sb_cb,1,1,198,0.725,5,441.036482190168,3.82729303131412,0.635294117647059,1.24517647058824,440.401188072521,2.8466148834518,453.06,1,1,0,1.00476257973069,5.6843418860808e-14
sb_cb,1,2,396,0.65,5,645.690796296061,5.75307119782568,1.10117647058824,2.15830588235294,644.589619825472,4.11958125043076,665.91,1,1,0,1.00476257973069,1.13686837721616e-13
sb_cb,1,3,594,0.525,5,852.868137755267,8.3334740535197,1.56705882352941,3.07143529411765,851.301078931737,6.39622027072492,897.03,1,1,0,1.00476257973069,0
sb_cb,1,4,792,0.475,5,1061.41860544187,13.7162354542923,2.03294117647059,3.98456470588235,1059.3856642654,10.6424509037767,1150.65,1,1,0,1.00476257973069,0
sb_cb,1,5,990,0.775,5,1258.69855489492,15.7846971084886,2.49882352941176,4.89769411764706,1256.1997313655,12.1017447461956,1394.28,1,1,0,1.00476257973069,0
sb_cb,1,6,1188,0.4,5,1477.07491389096,18.9891405102618,3.38823529411765,6.64094117647059,1473.68667859684,13.6004732208378,1709.55,1,1,0,1.00476257973069,2.27373675443232e-13
sb_cb,3,1,198,0.4,5,468.738574702096,14.5214131432762,0.324705882352941,0.636423529411765,468.413868819743,14.7316049365456,544.86,1,1,0,1.04927691063419,5.6843418860808e-14
sb_cb,3,2,396,0.525,5,679.720235041891,18.5072328104173,0.638319327731092,0.926127804822343,679.08191571416,19.0743957384942,928.8,1,1,0,1.06733590956918,0
sb_cb,3,3,594,0.325,5,908.290289359325,19.5698543399417,1.32302521008403,1.5890706759887,906.967264149241,20.7929746249434,1328.85,1,1,0,1.05201169026712,1.13686837721616e-13
sb_cb,3,4,792,0.25,5,1150.11213648455,21.441828730994,2.29563025210084,2.96941421422477,1147.81650623245,21.1727841463718,1803.15,1,1,0,1.06968641650005,2.27373675443232e-13
sb_cb,3,5,990,0.25,5,1382.01234876531,16.2440278962632,3.29595418812686,4.4142014557604,1378.71639457718,16.5662916012902,2224.62,1,1,0,1.0792044554753,0
sb_cb,3,6,1188,0.125,5,1670.28777453507,24.0607237407712,4.7324695039306,6.26625036261812,1665.55530503114,21.8325312269471,2701.8,1,1,0,1.080282790608,2.27373675443232e-13
sb_cb,5,1,198,0.35,5,482.956959181726,8.65546522572957,0.331515485962613,0.383842145259268,482.625443695764,8.87292229177697,688.32,1,1,0,1.06860046579171,1.13686837721616e-13
sb_cb,5,2,396,0.275,5,714.284138918026,7.13253807716693,0.772461747490369,0.704722654496052,713.511677170536,7.40640546570502,1133.91,1,1,0,1.06562508864214,1.13686837721616e-13
sb_cb,5,3,594,0.4,5,964.011701943648,31.9203473233738,1.66265207452248,1.20726796484861,962.349049869126,31.6010005221038,1571.4,1,1,0,1.14861308061654,0
sb_cb,5,4,792,0.225,5,1261.85758692197,29.7195168417215,2.51914225776925,2.16711941237528,1259.3384446642,28.6290967177134,2098.98,1,1,0,1.16964094294365,2.27373675443232e-13
sb_cb,5,5,990,0.225,5,1549.74803828425,59.2021514408116,6.30148492515627,2.76437546850851,1543.44655335909,60.7342150795847,2780.91,1,1,0,1.20435182514245,0
sb_cb,5,6,1188,0.325,5,1926.41996030541,148.718148221157,7.7938705513915,4.15615990898403,1918.62608975402,151.400780517603,4059.99,1,1,0,1.44160749316028,4.54747350886464e-13
