q,stage,n_runs,mean_total_delay_us,se_total_delay_us,mean_queue_delay_us,mean_access_delay_us,completion_ratio_mean,min_completion_ratio,variant,lambda_per_node,M,selected
0.01,coarse,3,1428.87634713556,58.5069610613315,3.58536585365854,1425.29098128191,1,1,sb_cb,1,1,0
0.025,coarse,3,806.281905842314,18.5777445144948,3.58536585365854,802.696539988656,1,1,sb_cb,1,1,0
0.05,coarse,3,599.380601247873,13.4747655116661,3.58536585365854,595.795235394214,1,1,sb_cb,1,1,0
0.1,coarse,3,522.946114577425,12.8425716119754,3.58536585365854,519.360748723766,1,1,sb_cb,1,1,0
0.2,coarse,3,483.650028360749,13.1406231372413,2.78048780487805,480.869540555871,1,1,sb_cb,1,1,0
0.3,coarse,3,470.125354509359,11.2301682097141,2.78048780487805,467.344866704481,1,1,sb_cb,1,1,0
0.4,coarse,3,463.563811684628,9.90120534107149,2.78048780487805,460.78332387975,1,1,sb_cb,1,1,0
0.5,coarse,3,451.487237663074,2.28543076549355,2.5609756097561,448.926262053318,1,1,sb_cb,1,1,0
0.6,coarse,3,448.22688598979,2.21684368036695,2.5609756097561,445.665910380034,1,1,sb_cb,1,1,0
0.7,coarse,3,445.667612024957,1.94668179239932,2.5609756097561,443.106636415201,1,1,sb_cb,1,1,0
0.725,fine,3,444.690867838911,2.54070403369557,2.5609756097561,442.129892229155,1,1,sb_cb,1,1,1
0.75,fine,3,443.923425978446,2.92616584838289,2.5609756097561,441.36245036869,1,1,sb_cb,1,1,0
0.775,fine,3,443.853658536585,2.94432617169904,2.5609756097561,441.292682926829,1,1,sb_cb,1,1,0
0.8,coarse,3,443.435053885423,3.12198517596527,2.5609756097561,440.874078275666,1,1,sb_cb,1,1,0
0.825,fine,3,443.082813386273,3.21222113284567,2.5609756097561,440.521837776517,1,1,sb_cb,1,1,0
0.85,fine,3,442.451503119682,3.37006814002789,2.5609756097561,439.890527509926,1,1,sb_cb,1,1,0
0.875,fine,3,442.03289846852,3.57733239046768,2.5609756097561,439.471922858763,1,1,sb_cb,1,1,0
0.9,coarse,3,441.816789563244,3.47586832569263,2.5609756097561,439.255813953488,1,1,sb_cb,1,1,0
0.95,coarse,3,440.976176971072,3.8379947706545,2.5609756097561,438.415201361316,1,1,sb_cb,1,1,0
0.975,coarse,3,440.620533182076,3.78434009555959,2.5609756097561,438.05955757232,1,1,sb_cb,1,1,0
1,coarse,3,440.620533182076,3.78434009555959,2.5609756097561,438.05955757232,1,1,sb_cb,1,1,0
0.01,coarse,3,1613.13726602382,59.544749385331,16.8292682926829,1596.30799773114,1,1,sb_cb,1,2,0
0.025,coarse,3,1027.89052750993,42.9524452170299,4.39024390243902,1023.50028360749,1,1,sb_cb,1,2,0
0.05,coarse,3,827.817923993193,16.8093712870732,4.39024390243902,823.427680090754,1,1,sb_cb,1,2,0
0.1,coarse,3,727.075439591605,5.02742605281172,4.39024390243902,722.685195689166,1,1,sb_cb,1,2,0
0.2,coarse,3,683.918321043676,1.95303845161002,4.39024390243902,679.528077141236,1,1,sb_cb,1,2,0
0.3,coarse,3,668.069200226886,2.95544176917763,4.17073170731707,663.898468519569,1,1,sb_cb,1,2,0
0.4,coarse,3,660.096993760635,4.11668634701885,4.17073170731707,655.926262053318,1,1,sb_cb,1,2,0
0.5,coarse,3,656.07600680658,4.66455948054426,4.17073170731707,651.905275099263,1,1,sb_cb,1,2,0
0.6,coarse,3,652.829268292683,5.07835137482585,4.17073170731707,648.658536585366,1,1,sb_cb,1,2,0
0.625,fine,3,652.114577424844,4.8415572047203,4.17073170731707,647.943845717527,1,1,sb_cb,1,2,0
0.65,fine,3,650.76176971072,4.83921518990853,4.17073170731707,646.591038003403,1,1,sb_cb,1,2,1
0.675,fine,3,649.432785025525,5.269859161554,4.17073170731707,645.262053318208,1,1,sb_cb,1,2,0
0.7,coarse,3,648.728304027226,5.29327117223573,4.17073170731707,644.557572319909,1,1,sb_cb,1,2,0
0.725,fine,3,648.166761202496,5.47400129191983,4.17073170731707,643.996029495179,1,1,sb_cb,1,2,0
0.75,fine,3,648.096993760635,5.49281571547689,4.17073170731707,643.926262053318,1,1,sb_cb,1,2,0
0.775,fine,3,647.601815087918,5.5058253903226,4.17073170731707,643.431083380601,1,1,sb_cb,1,2,0
0.8,coarse,3,647.183210436756,5.64022293754994,4.17073170731707,643.012478729438,1,1,sb_cb,1,2,0
0.9,coarse,3,645.760635280771,5.52084344391726,4.17073170731707,641.589903573454,1,1,sb_cb,1,2,0
0.95,coarse,3,645.411798071469,5.63840064635286,4.17073170731707,641.241066364152,1,1,sb_cb,1,2,0
0.975,coarse,3,645.122518434487,5.44689150727526,4.17073170731707,640.95178672717,1,1,sb_cb,1,2,0
1,coarse,3,644.909812819058,5.44352381092575,4.17073170731707,640.739081111741,1,1,sb_cb,1,2,0
0.01,coarse,3,1785.01020986954,91.1409254039116,16.9551900170164,1768.05501985252,1,1,sb_cb,1,3,0
0.025,coarse,3,1239.9154849688,36.3411718293782,13.0448099829836,1226.87067498582,1,1,sb_cb,1,3,0
0.05,coarse,3,1025.86386840613,23.5283558858159,7.39024390243902,1018.47362450369,1,1,sb_cb,1,3,0
0.1,coarse,3,936.478162223483,5.73048754879097,6.51219512195122,929.965967101532,1,1,sb_cb,1,3,0
0.2,coarse,3,903.643221781055,24.5367580879618,6.36585365853659,897.277368122518,1,1,sb_cb,1,3,0
0.3,coarse,3,884.001134429949,18.6632037696386,6.14634146341463,877.854792966534,1,1,sb_cb,1,3,0
0.4,coarse,3,885.704480998298,29.896836280594,6.14634146341463,879.558139534884,1,1,sb_cb,1,3,0
