lambda_per_node,M,n_q,q_min,q_max,raw_min_q,raw_min_tune_delay_us,selected_q,selected_tune_delay_us,conservative_penalty_us,actual_numeric_neighbors_stable
1,1,21,0.01,1,0.975,440.620533182076,0.725,444.690867838911,4.07033465683503,1
1,2,21,0.01,1,0.975,645.122518434487,0.65,650.76176971072,5.63925127623304,1
1,3,21,0.01,1,0.975,849.554736245037,0.525,857.75666477595,8.20192853091294,1
1,4,21,0.01,1,0.975,1053.90697674419,0.475,1063.25241066364,9.34543391944999,1
1,5,21,0.01,1,0.975,1261.12648893931,0.775,1264.24049914918,3.11401020987,1
1,6,21,0.01,1,0.975,1468.41576857629,0.4,1483.45490640953,15.0391378332399,1
3,1,21,0.01,1,0.5,454.819149644022,0.4,459.784782753344,4.96563310932203,1
3,2,21,0.01,1,0.6,660.175298589394,0.525,668.463279326635,8.28798073724101,1
3,3,21,0.01,1,0.5,879.153332723401,0.325,889.640391077251,10.48705835385,1
3,4,21,0.01,1,0.6,1103.86296909309,0.25,1123.39790571562,19.53493662253,1
3,5,21,0.01,1,0.5,1340.3701635172,0.25,1368.72297308537,28.3528095681702,1
3,6,21,0.01,1,0.3,1615.20203024153,0.125,1673.66043565773,58.4584054161999,1
5,1,21,0.01,1,0.45,466.662403123745,0.35,471.18796791972,4.52556479597501,1
5,2,21,0.01,1,0.6,692.289222948726,0.275,708.484605153125,16.195382204399,1
5,3,21,0.01,1,0.4,921.560604863402,0.4,921.560604863402,0,1
5,4,21,0.01,1,0.4,1188.21343394636,0.225,1201.4215409333,13.20810698694,1
5,5,21,0.01,1,0.25,1439.82402596975,0.225,1449.87982076658,10.05579479683,1
5,6,21,0.01,1,0.4,1712.87611691655,0.325,1730.82143162857,17.94531471202,1
