n_arrived,n_completed,n_censored,completion_ratio,mean_total_delay_us,mean_queue_delay_us,mean_access_delay_us,p95_total_delay_us,mean_attempts,final_backlog,stable,packet_conservation_ok,variant,lambda_per_node,M,Tp_us,q,run,collision_channel_time_us,mean_batch_size
68,68,0,1,439.279411764706,0,439.279411764706,441.9,1,0,1,1,sb_cb,1,1,198,0.725,1,0,1
79,79,0,1,441.569620253165,0,441.569620253165,450,1,0,1,1,sb_cb,1,1,198,0.725,2,0,1
85,85,0,1,447.670588235294,3.17647058823529,444.494117647059,461.25,1.01176470588235,0,1,1,sb_cb,1,1,198,0.725,3,18,1
83,83,0,1,441,0,441,462.15,1.01204819277108,0,1,1,sb_cb,1,1,198,0.725,4,18,1
86,86,0,1,435.662790697674,0,435.662790697674,450,1,0,1,1,sb_cb,1,1,198,0.725,5,0,1
68,68,0,1,646.279411764706,0,646.279411764706,663.299999999999,1,0,1,1,sb_cb,1,2,396,0.65,1,0,1
79,79,0,1,644.46835443038,0,644.46835443038,661.95,1,0,1,1,sb_cb,1,2,396,0.65,2,0,1
85,85,0,1,655.517647058824,5.50588235294118,650.011764705882,697.5,1.01176470588235,0,1,1,sb_cb,1,2,396,0.65,3,18,1
83,83,0,1,645.072289156627,0,645.072289156627,657,1.01204819277108,0,1,1,sb_cb,1,2,396,0.65,4,18,1
86,86,0,1,637.116279069767,0,637.116279069767,649.8,1,0,1,1,sb_cb,1,2,396,0.65,5,0,1
68,68,0,1,858.441176470588,0,858.441176470588,899.999999999998,1,0,1,1,sb_cb,1,3,594,0.525,1,0,1
79,79,0,1,851.810126582278,0,851.810126582278,864,1,0,1,1,sb_cb,1,3,594,0.525,2,0,1
85,85,0,1,865.482352941176,7.83529411764706,857.647058823529,999,1.01176470588235,0,1,1,sb_cb,1,3,594,0.525,3,18,1
83,83,0,1,847.734939759036,0,847.734939759036,858.15,1.01204819277108,0,1,1,sb_cb,1,3,594,0.525,4,18,1
86,86,0,1,840.872093023256,0,840.872093023256,864,1,0,1,1,sb_cb,1,3,594,0.525,5,0,1
68,68,0,1,1068.48529411765,0,1068.48529411765,1157.4,1,0,1,1,sb_cb,1,4,792,0.475,1,0,1
79,79,0,1,1056.18987341772,0,1056.18987341772,1071,1,0,1,1,sb_cb,1,4,792,0.475,2,0,1
85,85,0,1,1084.65882352941,10.1647058823529,1074.49411764706,1397.25,1.01176470588235,0,1,1,sb_cb,1,4,792,0.475,3,18,1
83,83,0,1,1053.75903614458,0,1053.75903614458,1062,1.01204819277108,0,1,1,sb_cb,1,4,792,0.475,4,18,1
86,86,0,1,1044,0,1044,1065.6,1,0,1,1,sb_cb,1,4,792,0.475,5,0,1
68,68,0,1,1268.07352941176,0,1268.07352941176,1453.5,1,0,1,1,sb_cb,1,5,990,0.775,1,0,1
79,79,0,1,1251.45569620253,0,1251.45569620253,1242,1,0,1,1,sb_cb,1,5,990,0.775,2,0,1
85,85,0,1,1285.09411764706,12.4941176470588,1272.6,1797.75,1.01176470588235,0,1,1,sb_cb,1,5,990,0.775,3,18,1
83,83,0,1,1249.59036144578,0,1249.59036144578,1236.15,1.01204819277108,0,1,1,sb_cb,1,5,990,0.775,4,18,1
86,86,0,1,1239.27906976744,0,1239.27906976744,1242,1,0,1,1,sb_cb,1,5,990,0.775,5,0,1
68,68,0,1,1485.66176470588,0,1485.66176470588,1852.2,1,0,1,1,sb_cb,1,6,1188,0.4,1,0,1
79,79,0,1,1466.20253164557,0,1466.20253164557,1476,1,0,1,1,sb_cb,1,6,1188,0.4,2,0,1
