lambda_per_node,M,sf_variant,sf_best_q,sb_cb_best_q,sf_mean_total_delay_us,sb_cb_mean_total_delay_us,sb_minus_sf_mean_us,paired_ci95_halfwidth_us,paired_ci95_low_us,paired_ci95_high_us,paired_interpretation,n_paired_runs
1,1,unslotted,0.25,0.725,428.077179866532,441.036482190168,12.9593023236352,25.948498143225,-12.9891958195898,38.9078004668602,not resolved,5
1,2,unslotted,0.25,0.65,643.952661000915,645.690796296061,1.73813529514555,34.6484576074158,-32.9103223122703,36.3865929025614,not resolved,5
1,3,unslotted,0.25,0.525,836.210024150619,852.868137755267,16.6581136046478,29.4518557267806,-12.7937421221328,46.1099693314284,not resolved,5
1,4,unslotted,0.25,0.475,1074.71194032528,1061.41860544187,-13.2933348834021,59.0551929662663,-72.3485278496685,45.7618580828642,not resolved,5
1,5,unslotted,0.25,0.775,1267.55598763617,1258.69855489492,-8.85743274125593,38.471189946097,-47.328622687353,29.6137572048411,not resolved,5
1,6,unslotted,0.25,0.4,1469.4379005191,1477.07491389096,7.63701337186594,40.0623825207302,-32.4253691488642,47.6993958925961,not resolved,5
3,1,unslotted,0.25,0.4,497.039916919193,468.738574702096,-28.3013422170968,60.9678919755486,-89.2692341926454,32.6665497584519,not resolved,5
3,2,unslotted,0.25,0.525,723.780789259315,679.720235041891,-44.0605542174238,91.3560739645339,-135.416628181958,47.2955197471101,not resolved,5
3,3,unslotted,0.25,0.325,918.80316052817,908.290289359325,-10.512871168845,48.433394191136,-58.946265359981,37.920523022291,not resolved,5
3,4,unslotted,0.25,0.25,1172.48789800248,1150.11213648455,-22.37576151793,64.3087631328178,-86.6845246507478,41.9330016148878,not resolved,5
3,5,unslotted,0.25,0.25,1385.70310306892,1382.01234876531,-3.69075430361395,80.3808407630232,-84.0715950666371,76.6900864594092,not resolved,5
3,6,fast_first,0.5,0.125,1660.79533159841,1670.28777453507,9.49244293666202,25.2818502726624,-15.7894073360004,34.7742932093245,not resolved,5
5,1,fast_first,0.5,0.35,535.200167426632,482.956959181726,-52.243208244906,21.2864297450911,-73.5296379899971,-30.9567784998149,SB-CB lower,5
5,2,unslotted,0.5,0.275,760.039817526257,714.284138918026,-45.7556786082304,47.8828287303466,-93.638507338577,2.12715012211622,not resolved,5
5,3,fast_first,0.5,0.4,1015.67091116379,964.011701943648,-51.6592092201434,23.8165500678703,-75.4757592880137,-27.8426591522731,SB-CB lower,5
5,4,fast_first,0.5,0.225,1270.2653889258,1261.85758692197,-8.40780200383401,31.8642687240645,-40.2720707278985,23.4564667202305,not resolved,5
5,5,fast_first,0.5,0.225,1552.96533308224,1549.74803828425,-3.21729479798805,50.7392741652478,-53.9565689632359,47.5219793672598,not resolved,5
5,6,fast_first,0.5,0.325,1872.35568410841,1926.41996030541,54.064276197002,137.137670656821,-83.0733944598188,191.201946853823,not resolved,5
