lambda_per_node,M,sf_variant,sf_best_q,sb_cb_best_q,sf_mean_total_delay_us,sb_cb_mean_total_delay_us,sb_minus_sf_mean_us,paired_ci95_halfwidth_us,paired_ci95_low_us,paired_ci95_high_us,paired_interpretation,n_paired_runs
1,1,fast_first,0.5,0.725,493.695544891301,441.036482190168,-52.6590627011328,7.75539901153261,-60.4144617126654,-44.9036636896002,SB-CB lower,5
1,2,fast_first,0.5,0.65,697.723346755913,645.690796296061,-52.0325504598526,7.78263388750521,-59.8151843473578,-44.2499165723474,SB-CB lower,5
1,3,fast_first,0.5,0.525,907.375415098201,852.868137755267,-54.5072773429346,16.9365552576127,-71.4438326005473,-37.5707220853219,SB-CB lower,5
1,4,fast_first,0.5,0.475,1106.71071519102,1061.41860544187,-45.29210974915,8.25947678934813,-53.5515865384981,-37.0326329598019,SB-CB lower,5
1,5,fast_first,0.5,0.775,1315.04251158368,1258.69855489492,-56.343956688764,11.9648181210234,-68.3087748097874,-44.3791385677406,SB-CB lower,5
1,6,fast_first,0.5,0.4,1524.80563327754,1477.07491389096,-47.730719386578,15.1695839361804,-62.9003033227584,-32.5611354503976,SB-CB lower,5
3,1,fast_first,0.5,0.4,516.212329920515,468.738574702096,-47.4737552184192,17.9831448528037,-65.4569000712229,-29.4906103656155,SB-CB lower,5
3,2,fast_first,0.5,0.525,726.763184716856,679.720235041891,-47.0429496749652,17.8929118679445,-64.9358615429098,-29.1500378070207,SB-CB lower,5
3,3,fast_first,0.475,0.325,946.067852788475,908.290289359325,-37.7775634291504,29.90510680858,-67.6826702377304,-7.87245662057041,SB-CB lower,5
3,4,fast_first,0.5,0.25,1180.60724872879,1150.11213648455,-30.495112244236,20.9418177670658,-51.4369300113018,-9.55329447717022,SB-CB lower,5
3,5,fast_first,0.5,0.25,1409.18815973386,1382.01234876531,-27.175810968554,30.1794545544746,-57.3552655230286,3.00364358592066,not resolved,5
3,6,fast_first,0.5,0.125,1660.79533159841,1670.28777453507,9.49244293666202,25.2818502726624,-15.7894073360004,34.7742932093245,not resolved,5
5,1,fast_first,0.5,0.35,535.200167426632,482.956959181726,-52.243208244906,21.2864297450911,-73.5296379899971,-30.9567784998149,SB-CB lower,5
5,2,fast_first,0.5,0.275,767.021925442318,714.284138918026,-52.7377865242922,17.7929594751306,-70.5307459994228,-34.9448270491615,SB-CB lower,5
5,3,fast_first,0.5,0.4,1015.67091116379,964.011701943648,-51.6592092201434,23.8165500678703,-75.4757592880137,-27.8426591522731,SB-CB lower,5
5,4,fast_first,0.5,0.225,1270.2653889258,1261.85758692197,-8.40780200383401,31.8642687240645,-40.2720707278985,23.4564667202305,not resolved,5
5,5,fast_first,0.5,0.225,1552.96533308224,1549.74803828425,-3.21729479798805,50.7392741652478,-53.9565689632359,47.5219793672598,not resolved,5
5,6,fast_first,0.5,0.325,1872.35568410841,1926.41996030541,54.064276197002,137.137670656821,-83.0733944598188,191.201946853823,not resolved,5
