protocol,lambda,M,q_coarse_best,q_coarse_delay_us,q_fine_best,q_fine_delay_us,q_fine_completion_ratio
sf_cb,1,1,1,412.869230715447,0.9875,414.382750427295,1
batch_clear,1,1,0.95,412.869230715447,1,413.690345363974,1
unslotted,1,1,1,328.200000000001,1,330.34726164302,1
sb_cb,1,1,1,364.200000000001,0.99375,366.884662280038,1
sf_cb,1,2,1,576.969230715936,0.9875,580.64420739839,1
batch_clear,1,2,0.95,576.969230715936,1,579.951802335098,1
unslotted,1,2,1,492.299999999975,1,496.608718616836,1
sb_cb,1,2,1,528.299999999975,0.99375,533.118458926949,1
sf_cb,1,3,1,741.069230716755,0.9875,747.598069437,1
batch_clear,1,3,0.95,741.069230716755,1,746.905664373709,1
unslotted,1,3,1,656.400000000026,1,664.168609967859,1
sb_cb,1,3,1,692.400000000026,0.99375,701.120077026348,1
sf_cb,1,4,1,905.169230717243,0.9875,915.964073376732,1
batch_clear,1,4,0.95,905.169230717243,1,915.27166831347,1
unslotted,1,4,1,820.769230769231,1,832.534613910361,1
sb_cb,1,4,1,857.653846153846,0.99375,869.431488596643,1
sf_cb,1,5,1,1073.47692302494,0.9875,1085.71488744594,1
batch_clear,1,5,0.95,1073.47692302494,1,1085.02248238265,1
unslotted,1,5,1,989.076923076923,1,1002.33283564387,1
sb_cb,1,5,1,1026.13846153846,0.99375,1040.12217699621,1
sf_cb,1,6,1,1241.78461533263,0.9875,1256.90742164694,1
batch_clear,1,6,0.95,1241.78461533263,1,1256.2150165836,1
unslotted,1,6,1,1157.38461538462,1,1173.839068475,1
sb_cb,1,6,1,1194.39230769231,0.99375,1211.71709819034,1
sf_cb,5,1,0.75,511.28952874825,0.8,482.390848524001,1
batch_clear,5,1,0.85,468.331413565,0.8625,459.269001337522,1
unslotted,5,1,0.6,356.099362414516,0.617127996946381,356.838164435619,1
sb_cb,5,1,0.6,394.545549738218,0.65,390.366332979212,1
sf_cb,5,2,0.75,696.86858634182,0.8,657.284197513662,1
batch_clear,5,2,0.85,669.375392624562,0.8625,639.586981612744,1
unslotted,5,2,0.75,548.133651540118,0.775,542.876487224431,1
sb_cb,5,2,0.6,578.765968586361,0.562341325190349,570.168124654004,1
sf_cb,5,3,0.75,884.165968544548,0.8,828.842434560708,1
batch_clear,5,3,0.7,896.194240795792,0.75,853.519492484707,1
unslotted,5,3,0.4,737.62962739209,0.4125,733.407644514098,1
sb_cb,5,3,0.562341325190349,786.735078534057,0.5875,755.332982204483,1
sf_cb,5,4,0.8,1071.46335074542,0.825,1028.17509922689,1
batch_clear,5,4,0.85,1053.42094236847,0.8625,1014.22742020435,1
unslotted,5,4,0.45,956.263637048854,0.45,925.547080280407,1
sb_cb,5,4,0.316227766016838,990.698952879581,0.34375,969.345146594727,1
sf_cb,5,5,0.8,1292.26806278732,0.8,1233.48676182625,1
batch_clear,5,5,0.7,1292.2680627873,0.75,1261.06574621006,1
unslotted,5,5,0.7,1157.12663125382,0.6625,1138.84312105776,1
sb_cb,5,5,0.562341325190349,1197.77277486911,0.55,1186.62928484046,1
sf_cb,5,6,0.8,1504.48115179254,0.7875,1474.35844560078,1
batch_clear,5,6,0.7,1508.77696331087,0.75,1485.14061714988,1
unslotted,5,6,0.45,1385.8603342516,0.425,1377.33163286796,1
sb_cb,5,6,0.6,1427.04031413612,0.595213328243968,1452.29565839294,1
sf_cb,10,1,0.6,598.665957400163,0.65,567.265158345688,1
batch_clear,10,1,0.85,532.764095698035,0.65,568.391253691311,1
unslotted,10,1,0.55,398.649252255662,0.538963328243968,395.969608210107,1
sb_cb,10,1,0.562341325190349,431.245212765956,0.55625,443.105738955141,1
sf_cb,10,2,0.65,806.409574424957,0.5,889.974410136307,1
batch_clear,10,2,0.55,809.901063786662,0.546755993892762,812.556667777982,1
unslotted,10,2,0.562341325190349,622.740195789778,0.5625,671.078514860845,1
sb_cb,10,2,0.562341325190349,663.682978723377,0.562341325190349,660.658944854277,1
sf_cb,10,3,0.55,1080.92792549609,0.515585331297587,1113.60630775513,1
batch_clear,10,3,0.55,1029.42845741098,0.538963328243968,1097.7169757805,1
unslotted,10,3,0.15,916.641892350816,0.177827941003892,946.866803584616,1
sb_cb,10,3,0.45,943.346808510664,0.425,988.608135905005,1
sf_cb,10,4,0.5,1351.0819148613,0.55,1444.68240072666,1
batch_clear,10,4,0.6,1287.79867018037,0.5,1442.25543262297,1
unslotted,10,4,0.55,1116.80379739623,0.0316227766016838,1605.66727171516,1
sb_cb,10,4,0.3,1307.4335106383,0.258278470752105,1674.83741547578,1
sf_cb,10,5,0.5,1742.56515954218,0.4625,1965.50140000938,1
batch_clear,10,5,0.55,1685.39202124432,0.45,1913.28567531787,1
unslotted,10,5,0.25,1510.66338583568,0.0177827941003892,2384.27126328083,1
sb_cb,10,5,0.562341325190349,1663.64521276596,0.0316227766016838,2253.48832373678,1
sf_cb,10,6,0.45,2086.91329784006,0.4,2415.9980650002,1
batch_clear,10,6,0.55,2012.28271273365,0.4,2387.22891498321,1
unslotted,10,6,0.0316227766016838,2434.84530204253,0.0177827941003892,3196.91934213072,1
sb_cb,10,6,0.35,2137.9579787234,0.0177827941003892,3178.17646089573,1
