protocol,M,q_coarse_best,q_coarse_throughput,q_fine_best,q_fine_throughput
sf_cb,1,0.025,0.275687999999994,0.0237137370566166,0.274770733333328
batch_clear,1,0.0316227766016838,0.9685561,0.0374947104666228,0.7979468
unslotted,1,0.00203091762090473,0.312118199999993,0.0022065910997221,0.313917882742344
sb_cb,1,0.003,0.301943999999994,0.00221898234145897,0.308070399999993
sf_cb,2,0.025,0.428995299999968,0.0261015721568254,0.428532433333298
batch_clear,2,0.001,0.8697679,0.000825404185268018,0.749852866666667
unslotted,2,0.00203091762090473,0.443731055421937,0.00162301476045759,0.445048600932649
sb_cb,2,0.00203091762090473,0.443218299999962,0.00189244020384881,0.441432699999963
sf_cb,3,0.025,0.530080900000031,0.0237137370566166,0.528742833333364
batch_clear,3,0.001,0.8773165,0.00177827941003892,0.7682447
unslotted,3,0.00119377664171444,0.518884200000029,0.001425102670303,0.521151225449673
sb_cb,3,0.00119377664171444,0.513961200000029,0.001425102670303,0.520647333333363
sf_cb,4,0.025,0.600606000000004,0.0237137370566166,0.601110933333337
batch_clear,4,0.001,0.8769883,0.00177827941003892,0.7872803
unslotted,4,0.001,0.569268028751358,0.00119377664171444,0.569371960782358
sb_cb,4,0.00119377664171444,0.570404100000003,0.001425102670303,0.57282176666667
sf_cb,5,0.025,0.6506565,0.0237137370566166,0.652937100000002
batch_clear,5,0.001,0.8783011,0.001,0.7914922
unslotted,5,0.00119377664171444,0.616292490692349,0.001,0.604914304243044
sb_cb,5,0.00119377664171444,0.6047085,0.001425102670303,0.606963166666667
sf_cb,6,0.025,0.691189199999997,0.0237137370566166,0.691105066666665
batch_clear,6,0.001,0.8940547,0.00177827941003892,0.8456999
unslotted,6,0.00119377664171444,0.647058406290167,0.00112533558260076,0.63300601793924
sb_cb,6,0.001,0.630219699999998,0.00119377664171444,0.637447866666664
