prot,lam,Mv,q_ok,delay,bestq,compl
s7_busy,5,1,1,0.740274331550751,0.74,1
s7_busy,5,2,1,1.28284385026733,0.62,1
s7_busy,5,3,1,1.79798021390369,0.6,1
s7_busy,5,4,1,2.62311122994647,0.72,1
s7_busy,5,5,1,3.20904438502669,0.74,1
s7_busy,5,6,1,3.94066203208551,0.64,1
s7_busy,10,1,1,1.01166595744676,0.72,1
s7_busy,10,2,1,1.72371648936165,0.62,1
s7_busy,10,3,1,2.43059680851059,0.52,1
s7_busy,10,4,1,3.76596914893612,0.5,1
s7_busy,10,5,1,4.47763670212761,0.54,1
s7_busy,10,6,1,6.14146117021271,0.44,1
s7_clean,5,1,1,0.296145989304761,0.98,1
s7_clean,5,2,1,0.589555080213852,0.98,1
s7_clean,5,3,1,0.741611229946473,0.98,1
s7_clean,5,4,1,1.18089732620316,0.98,1
s7_clean,5,5,1,1.1082903743315,0.8,1
s7_clean,5,6,1,1.3571326203208,0.78,1
s7_clean,10,1,1,0.3247457446808,0.94,1
s7_clean,10,2,1,0.501344148936119,0.64,1
s7_clean,10,3,1,0.725719148936119,0.68,1
s7_clean,10,4,1,0.979463829787183,0.58,1
s7_clean,10,5,1,1.27926170212761,0.42,1
s7_clean,10,6,1,1.60361808510633,0.3,1
sb_cb,5,1,1,4.5537486631016,0.96,1
sb_cb,5,2,1,0.654986631016043,0.68,1
sb_cb,5,3,1,0.861957219251337,0.88,1
sb_cb,5,4,1,2.1162486631016,0.84,1
sb_cb,5,5,1,1.70067914438503,0.38,1
sb_cb,5,6,1,1.69203475935829,0.3,1
sb_cb,10,1,1,0.442742021276596,0.44,1
sb_cb,10,2,1,0.696414893617021,0.24,1
sb_cb,10,3,1,1.41083510638298,0.24,1
sb_cb,10,4,1,1.35623404255319,0.22,1
sb_cb,10,5,1,1.87710638297872,0.34,1
sb_cb,10,6,1,NaN,NaN,NaN
sb_cf,5,1,0,NaN,NaN,NaN
sb_cf,5,2,1,NaN,NaN,NaN
sb_cf,5,3,0,NaN,NaN,NaN
sb_cf,5,4,1,7.68174331550802,0.0022,1
sb_cf,5,5,0,NaN,NaN,NaN
sb_cf,5,6,0,NaN,NaN,NaN
sb_cf,10,1,0,NaN,NaN,NaN
sb_cf,10,2,1,7.61021276595745,0.0028,1
sb_cf,10,3,0,NaN,NaN,NaN
sb_cf,10,4,0,NaN,NaN,NaN
sb_cf,10,5,0,NaN,NaN,NaN
sb_cf,10,6,0,NaN,NaN,NaN
sf_cb,5,1,0,NaN,NaN,NaN
sf_cb,5,2,0,NaN,NaN,NaN
sf_cb,5,3,0,NaN,NaN,NaN
sf_cb,5,4,1,1.08330213903743,0.82,1
sf_cb,5,5,1,NaN,NaN,NaN
sf_cb,5,6,1,NaN,NaN,NaN
sf_cb,10,1,1,0.545376329787234,0.62,1
sf_cb,10,2,1,0.832776595744681,0.62,1
sf_cb,10,3,1,1.20574867021277,0.48,1
sf_cb,10,4,1,1.47672606382979,0.52,1
sf_cb,10,5,1,2.08653324468085,0.38,1
sf_cb,10,6,1,2.50661303191489,0.28,1
sf_cf,5,1,0,NaN,NaN,NaN
sf_cf,5,2,0,NaN,NaN,NaN
sf_cf,5,3,0,NaN,NaN,NaN
sf_cf,5,4,0,NaN,NaN,NaN
sf_cf,5,5,0,NaN,NaN,NaN
sf_cf,5,6,0,NaN,NaN,NaN
sf_cf,10,1,1,0.343115691489362,0.72,1
sf_cf,10,2,1,1.34275,0.42,1
sf_cf,10,3,1,NaN,NaN,NaN
sf_cf,10,4,1,8.74600797872341,0.14,1
sf_cf,10,5,0,NaN,NaN,NaN
sf_cf,10,6,0,NaN,NaN,NaN
unslotted,5,1,1,0.397078012632973,0.8,1
unslotted,5,2,1,NaN,NaN,NaN
unslotted,5,3,1,1.61786383340381,0.8,1
unslotted,5,4,1,1.40857311587211,0.72,1
unslotted,5,5,1,1.8713475863377,0.7,1
unslotted,5,6,1,1.66072753968926,0.7,1
unslotted,10,1,1,NaN,NaN,NaN
unslotted,10,2,0,NaN,NaN,NaN
unslotted,10,3,1,1.04836917598889,0.082,1
unslotted,10,4,1,NaN,NaN,NaN
unslotted,10,5,1,NaN,NaN,NaN
unslotted,10,6,1,2.68271792145797,0.02,1
