protocol,M,S_max,Tp_us
s7_busy,0.1,0.0387833333333333,18
s7_busy,0.2,0.0730058333333333,36
s7_busy,0.4,0.1259148,81
s7_busy,0.6,0.16705,117
s7_busy,1,0.229874766666667,198
s7_busy,2,0.346555466666667,396
s7_busy,3,0.419169266666667,594
s7_busy,4,0.477380466666667,792
s7_busy,5,0.5065133,990
s7_busy,6,0.551658266666667,1188
s7_busy,8,0.5999178,1584
s7_busy,10,0.6277966,1980
s7_busy,15,0.676377633333333,2970
s7_busy,20,0.713869266666667,3960
s7_clean,0.1,0.0902008833333334,18
s7_clean,0.2,0.1717625,36
s7_clean,0.4,0.288188333333333,81
s7_clean,0.6,0.37232,117
s7_clean,1,0.499606466666667,198
s7_clean,2,0.6687726,396
s7_clean,3,0.752532266666667,594
s7_clean,4,0.801893266666667,792
s7_clean,5,0.832455766666667,990
s7_clean,6,0.8572674,1188
s7_clean,8,0.889799933333333,1584
s7_clean,10,0.911513066666667,1980
s7_clean,15,0.9352974,2970
s7_clean,20,0.951509733333333,3960
sb_cb,0.1,0.0512579166666667,18
sb_cb,0.2,0.094379,36
sb_cb,0.4,0.163883166666667,81
sb_cb,0.6,0.226338,117
sb_cb,1,0.314601333333333,198
sb_cb,2,0.447089166666667,396
sb_cb,3,0.5249245,594
sb_cb,4,0.561227333333333,792
sb_cb,5,0.612412666666667,990
sb_cb,6,0.638793833333333,1188
sb_cb,8,0.680646833333333,1584
sb_cb,10,0.71644,1980
sb_cb,15,0.7766135,2970
sb_cb,20,0.7875205,3960
sb_cf,0.1,0.226506666666667,18
sb_cf,0.2,0.195887666666667,36
sb_cf,0.4,0.181662333333333,81
sb_cf,0.6,0.1981525,117
sb_cf,1,0.174633333333333,198
sb_cf,2,0.188175,396
sb_cf,3,0.195796833333333,594
sb_cf,4,0.182279666666667,792
sb_cf,5,0.181729166666667,990
sb_cf,6,0.193375,1188
sb_cf,8,0.182725,1584
sb_cf,10,0.174958333333333,1980
sb_cf,15,0.1633125,2970
sb_cf,20,0.190666666666667,3960
sf_cb,0.1,0.0360425,18
sf_cb,0.2,0.0684991666666667,36
sf_cb,0.4,0.130281666666667,81
sf_cb,0.6,0.185370833333333,117
sf_cb,1,0.27105,198
sf_cb,2,0.41895,396
sf_cb,3,0.527379166666667,594
sf_cb,4,0.5957625,792
sf_cb,5,0.650945833333333,990
sf_cb,6,0.690066666666667,1188
sf_cb,8,0.751695833333333,1584
sf_cb,10,0.781866666666667,1980
sf_cb,15,0.842858333333333,2970
sf_cb,20,0.878566666666667,3960
sf_cf,0.1,0.370409333333333,18
sf_cf,0.2,0.371556,36
sf_cf,0.4,0.377429333333333,81
sf_cf,0.6,0.369860333333333,117
sf_cf,1,0.368537333333333,198
sf_cf,2,0.375929333333333,396
sf_cf,3,0.366102,594
sf_cf,4,0.386232,792
sf_cf,5,0.364636666666667,990
sf_cf,6,0.370378666666667,1188
sf_cf,8,0.361541333333333,1584
sf_cf,10,0.386753333333333,1980
sf_cf,15,0.365963333333333,2970
sf_cf,20,0.346493333333333,3960
unslotted,0.1,0.05230875,18
unslotted,0.2,0.0971860120276014,36
unslotted,0.4,0.170408333333333,81
unslotted,0.6,0.226363854155182,117
unslotted,1,0.305211051361371,198
unslotted,2,0.445438837019094,396
unslotted,3,0.521841817750142,594
unslotted,4,0.581578175992095,792
unslotted,5,0.612283402770914,990
unslotted,6,0.633232434644853,1188
unslotted,8,0.674759039484053,1584
unslotted,10,0.708990829711389,1980
unslotted,15,0.742587913367936,2970
unslotted,20,0.782039387038902,3960
